frame_idx,time_s,x,y
553,18.412202,282.11,1087.06
554,18.445497,282.12,1087.11
555,18.478792,282.18,1087.26
556,18.512087,282.19,1087.26
557,18.545382,282.19,1087.18
558,18.578677,282.12,1087.01
559,18.611972,282.11,1087.00
560,18.645267,282.10,1086.86
561,18.678563,282.07,1086.93
562,18.711858,281.93,1086.94
563,18.745153,281.83,1087.19
564,18.778448,281.64,1087.01
565,18.811743,281.57,1087.18
566,18.845038,281.38,1087.08
